geoid,land,water
13175,516658.04500279226,7162.524525187429
13177,227762.48449415102,3785.345428307379
13179,330166.2837360324,55450.93652856783
13181,134642.8556955269,30027.464750448496
13183,256249.48182047316,2190.0290595671704
13185,317535.71781578806,9232.211146419693
13187,181075.32284289546,810.545707042003
13189,164773.1606727191,5712.829205853427
13191,271640.27369367855,95651.49671597237
13193,256409.54196586984,3424.8928799118326
13195,180679.54537592106,2096.5936553278343
13197,234250.3098698744,936.8680903218792
13199,320782.6631017628,2676.76766678363
13201,180749.43931838512,794.5528137864912
13205,327746.1006805276,1100.7840646822474
13207,253498.37231829122,1394.6229916527875
13209,153296.95220491936,3307.067207662237
13211,222303.94972892563,4653.084613749919
13213,220475.91120028862,1413.3538101145084
13215,138513.34787959058,2930.6032331239526
13217,175162.43062522548,3524.072737875785
13219,117967.07793202631,1310.9450289854356
13221,280967.16095936106,1936.978052119421
13223,199866.53306514185,1311.9633493622216
13225,96170.43757382267,661.8699436106018
13227,148517.10709043554,418.53881775005806
13229,217710.64751436916,1956.244841679722
13231,138294.7638415957,2124.326761983365
13233,198611.26330043538,1158.5172207588105
13235,159507.25896126873,1267.9015335346417
13237,220579.12381451298,10260.00627647114
13239,96791.85269567023,5969.639177040965
13241,236883.8052218263,4408.153234853688
13243,274070.8168802479,1687.7383947060189
13245,207574.87286439363,2724.1278423271374
13247,83079.92097576887,1462.4355673287437
13249,106820.4019906792,586.5377107189278
13251,412865.09861967055,6890.56824303287
13253,150547.67053962825,13648.01599264615
13255,125367.15700567847,2370.6310571653084
13257,114650.56241135101,3235.908086763565
13259,293598.75360155775,3113.150442565347
13261,308922.9130733457,6375.230425564511
13263,250481.30921257468,2166.33365127531
13265,124548.67205685395,473.38998631037396
13267,306899.46699416335,5643.32099454886
13269,241078.8277825277,1928.0041810193582
13271,279874.27857647656,4291.10174307982
13273,214681.33787677358,1448.47980903713
13275,348547.0204059444,4872.257256243111
13277,166959.65291608803,5065.228349881142
13279,232963.47760980116,4471.220897189426
13281,106579.82485186045,3453.5009859496004
13283,127637.0803536569,1928.809249640462
13285,264964.0454574658,20451.315587887893
13287,182651.39490864522,2935.915499918455
13289,229388.7626456067,2696.9361430837735
13291,206106.2789421922,4468.341627829972
13293,206999.25646056447,2634.952036887859
13295,285689.64431682834,413.32687565173984
13297,208993.64643204855,2206.086941480555
13299,571455.1741350084,9656.093860425119
13301,181947.5173344272,1532.5348541832432
13303,434202.55926817335,3784.666630424576
13305,410764.1556663685,4465.612104199305
13307,133835.43759853317,732.8805543063016
13309,189113.13586336072,3058.427768689799
13311,154042.07780847372,970.6772658307923
13313,185895.61091809452,378.9985321953317
13315,241738.7077882605,2814.6024325032245
13317,300473.42729918996,2946.67198766451
13319,286281.5392674814,2966.091982425881
13321,365252.0514670633,2591.0137736417864
15001,2578205.784237656,676937.1883386131
15003,384392.11487424816,1001988.8478968879
15005,7674.494052178726,26134.946106363946
15007,396725.446395477,413714.39165179915
15009,743378.5366926456,791550.5362182037
16001,673337.5431816272,5426.828207548569
16003,872194.474728555,4289.708069960414
16005,711988.525177545,22757.066466346747
16007,624465.128025185,47287.102346016414
16009,497192.9995107318,4688.981580781148
16011,1340023.4329826087,16923.512797576393
16013,1688150.7773928428,11034.800067212604
16015,1215714.5243472718,4720.7679534256185
16017,1109121.7054704141,118482.10167883248
16019,1194228.3590240334,21956.03974439442
16021,811985.1393426014,5970.227287328941
16023,1431359.0195855552,1299.85494926931
16025,687509.3007912308,2853.583271968884
16027,375708.52216286206,10657.38696174318
16029,1129083.0330181918,22045.950193483342
16031,1641988.0517240528,9676.807450714876
16033,1128411.7787618055,611.9445693698324
16035,1572676.0733012755,19670.91498099761
16037,3150146.2827970325,10518.506446973703
16039,1967993.0254567738,16940.420474145387
16041,424331.25855601626,3003.6672877243095
